"title","city","state","slug","1"
"112 Alc Independent Study","Chaska","MN","112-alc-independent-study-chaska-mn","1"
"112 Alc Seat-Based","Chaska","MN","112-alc-seat-based-chaska-mn","1"
"18+ Program","Hastings","NE","18-program-hastings-ne","1"
"1st Cerebral Palsy of Nj","Belleville","NJ","1st-cerebral-palsy-of-nj-belleville-nj","1"
"21st Century Charter Sch of Gary","Gary","IN","21st-century-charter-sch-of-gary-gary-in","1"
"21st Century Cyber Cs","Downingtown","PA","21st-century-cyber-cs-downingtown-pa","1"
"21st Century Eschool","Middleton","WI","21st-century-eschool-middleton-wi","1"
"21st Century Learning Academy/Kiowa County","Greensburg","KS","21st-century-learning-academy-kiowa-county-greensburg-ks","1"
"21st Century Learning Institute","Beaumont","CA","21st-century-learning-institute-beaumont-ca","1"
"270 Hopkins Alternative","Minnetonka","MN","270-hopkins-alternative-minnetonka-mn","1"
"270 Hopkins Is","Hopkins","MN","270-hopkins-is-hopkins-mn","1"
"270 Hopkins North Jr High Alc","Minnetonka","MN","270-hopkins-north-jr-high-alc-minnetonka-mn","1"
"270 Hopkins West Jr High Alc","Minnetonka","MN","270-hopkins-west-jr-high-alc-minnetonka-mn","1"
"272 Central Middle Sch. Alt","Eden Prairie","MN","272-central-middle-sch-alt-eden-prairie-mn","1"
"276 Minnetonka Compass","Minnetonka","MN","276-minnetonka-compass-minnetonka-mn","1"
"276 Minnetonka Compass Ext Yr","Minnetonka","MN","276-minnetonka-compass-ext-yr-minnetonka-mn","1"
"276 Minnetonka Hs Is","Minnetonka","MN","276-minnetonka-hs-is-minnetonka-mn","1"
"277 Westonka Area Learning Academy","Minnetrista","MN","277-westonka-area-learning-academy-minnetrista-mn","1"
"283 St Louis Pk Independent Study","Saint Louis Park","MN","283-st-louis-pk-independent-study-saint-louis-park-mn","1"
"283-Ind Stdy 15 and Under - I.S.","Saint Louis Park","MN","283-ind-stdy-15-and-under-i-s-saint-louis-park-mn","1"
"283-St. Louis Park Alc","Saint Louis Park","MN","283-st-louis-park-alc-saint-louis-park-mn","1"
"3","Richmond","VA","3-richmond-va","1"
"360 High School","Providence","RI","360-high-school-providence-ri","1"
"3b Juvenile Detention Center","Idaho Falls","ID","3b-juvenile-detention-center-idaho-falls-id","1"
"3d Academy","Donna","TX","3d-academy-donna-tx","1"
"4092 - Watershed High School Alc","Richfield","MN","4092-watershed-high-school-alc-richfield-mn","1"
"4122 - Eagle Ridge Academy - Is","Minnetona","MN","4122-eagle-ridge-academy-is-minnetona-mn","1"
"4126 - Prairie Seeds Academy - Is","Brooklyn Park","MN","4126-prairie-seeds-academy-is-brooklyn-park-mn","1"
"49th Street Academy","Vancouver","WA","49th-street-academy-vancouver-wa","1"
"500 Reach","Kansas City","KS","500-reach-kansas-city-ks","1"
"54th Street Academy","Grand Rapids","MI","54th-street-academy-grand-rapids-mi","1"
"622 Alternative Middle/High School","North St Paul","MN","622-alternative-middle-high-school-north-st-paul-mn","1"
"7 Rivers Community High","La Crosse","WI","7-rivers-community-high-la-crosse-wi","1"
"70 Online","Pueblo","CO","70-online-pueblo-co","1"
"800 W Broadway","Minneapolis","MN","800-w-broadway-minneapolis-mn","1"
"800 W Broadway Extended","Minneapolis","MN","800-w-broadway-extended-minneapolis-mn","1"
"916 Mahtomedi Academy","White Bear Lake","MN","916-mahtomedi-academy-white-bear-lake-mn","1"
"917 Dash","Rosemount","MN","917-dash-rosemount-mn","1"
"917 Intra-Dakota Educational Alt","Rosemount","MN","917-intra-dakota-educational-alt-rosemount-mn","1"
"917 Paces","Rosemount","MN","917-paces-rosemount-mn","1"
"917 Sun","Rosemount","MN","917-sun-rosemount-mn","1"
"917 Transitional Education Serv Alt","Rosemount","MN","917-transitional-education-serv-alt-rosemount-mn","1"
"91st Psalm Christian School","Phoenix","AZ","91st-psalm-christian-school-phoenix-az","1"
"9th Grade Academy","Mount Airy","GA","9th-grade-academy-mount-airy-ga","1"
"A & M Cons H S","College Station","TX","a-m-cons-h-s-college-station-tx","1"
"A B Shepard High Sch (Campus)","Palos Heights","IL","a-b-shepard-high-sch-campus-palos-heights-il","1"
"A C Jones H S","Beeville","TX","a-c-jones-h-s-beeville-tx","1"
"A Different World Academy","Gretna","LA","a-different-world-academy-gretna-la","1"
"A G West Black Hills High School","Tumwater","WA","a-g-west-black-hills-high-school-tumwater-wa","1"
"A Habitat for Learning","Abilene","TX","a-habitat-for-learning-abilene-tx","1"
"A K Smith Area Career Center","Michigan City","IN","a-k-smith-area-career-center-michigan-city-in","1"
"A L Brown High","Kannapolis","NC","a-l-brown-high-kannapolis-nc","1"
"A Lighthouse Christian Academy","Monticello","FL","a-lighthouse-christian-academy-monticello-fl","1"
"A Maceo Smith New Tech H S","Dallas","TX","a-maceo-smith-new-tech-h-s-dallas-tx","1"
"A Philip Randolph Campus High School","New York","NY","a-philip-randolph-campus-high-school-new-york-ny","1"
"A Plus Learning Academy","Lake City","FL","a-plus-learning-academy-lake-city-fl","1"
"A W Beattie Career Center","Allison Park","PA","a-w-beattie-career-center-allison-park-pa","1"
"A+ Secondary School","Dallas","TX","a-secondary-school-dallas-tx","1"
"A-3 Multiagency Adolescent Prog","Spokane","WA","a-3-multiagency-adolescent-prog-spokane-wa","1"
"A-C Central High School","Ashland","IL","a-c-central-high-school-ashland-il","1"
"A. C. E.","Marana","AZ","a-c-e-marana-az","1"
"A. C. Flora High","Columbia","SC","a-c-flora-high-columbia-sc","1"
"A. Crawford Mosley High School","Lynn Haven","FL","a-crawford-mosley-high-school-lynn-haven-fl","1"
"A. G. A. P. E. Teen Parent","Saint Paul","MN","a-g-a-p-e-teen-parent-saint-paul-mn","1"
"A. I. Prince Technical High School","Hartford","CT","a-i-prince-technical-high-school-hartford-ct","1"
"A. Philip Randolph Academies","Jacksonville","FL","a-philip-randolph-academies-jacksonville-fl","1"
"A.C.G.C. Secondary","Grove City","MN","a-c-g-c-secondary-grove-city-mn","1"
"A.D. Henderson University School & Fau High School","Boca Raton","FL","a-d-henderson-university-school-fau-high-school-boca-raton-fl","1"
"A.Quinn Jones Center","Gainesville","FL","a-quinn-jones-center-gainesville-fl","1"
"Aaec - Paradise Valley","Phoenix","AZ","aaec-paradise-valley-phoenix-az","1"
"Aaec - Smcc Campus","Phoenix","AZ","aaec-smcc-campus-phoenix-az","1"
"Aaron Cohn Regional Youth Detention Center","Midland","GA","aaron-cohn-regional-youth-detention-center-midland-ga","1"
"Aaron School","New York","NY","aaron-school-new-york-ny","1"
"Ab Davis Steam High School","Mount Vernon","NY","ab-davis-steam-high-school-mount-vernon-ny","1"
"Abba Independent Learning Center","Pasadena","TX","abba-independent-learning-center-pasadena-tx","1"
"Abbeville Christian Academy","Abbeville","AL","abbeville-christian-academy-abbeville-al","1"
"Abbeville High","Abbeville","SC","abbeville-high-abbeville-sc","1"
"Abbeville High School","Abbeville","AL","abbeville-high-school-abbeville-al","1"
"Abbeville High School","Abbeville","LA","abbeville-high-school-abbeville-la","1"
"Abbotsford Christian Academy","Abbotsford","WI","abbotsford-christian-academy-abbotsford-wi","1"
"Abbotsford Middle/Senior High","Abbotsford","WI","abbotsford-middle-senior-high-abbotsford-wi","1"
"Abbott House High School - 07","Mitchell","SD","abbott-house-high-school-07-mitchell-sd","1"
"Abbott School","Abbott","TX","abbott-school-abbott-tx","1"
"Abby Kelley Foster Charter Public School","Worcester","MA","abby-kelley-foster-charter-public-school-worcester-ma","1"
"Abc Montessori Academy for the Brilliant Child","Mcdonough","GA","abc-montessori-academy-for-the-brilliant-child-mcdonough-ga","1"
"Abc Secondary (Alternative)","Cerritos","CA","abc-secondary-alternative-cerritos-ca","1"
"Abe Diploma Program","Apple Valley","MN","abe-diploma-program-apple-valley-mn","1"
"Abelardo Martinez Otero","Arecibo","PR","abelardo-martinez-otero-arecibo-pr","1"
"Aberdeen High","Aberdeen","MD","aberdeen-high-aberdeen-md","1"
"Aberdeen High School","Aberdeen","ID","aberdeen-high-school-aberdeen-id","1"
"Aberdeen High School","Aberdeen","MS","aberdeen-high-school-aberdeen-ms","1"
"Abernathy Daep","Plainview","TX","abernathy-daep-plainview-tx","1"
"Abernathy H S","Abernathy","TX","abernathy-h-s-abernathy-tx","1"
"Abi Christian Academy","Oakdale","MN","abi-christian-academy-oakdale-mn","1"
"Abilene Baptist Academy","Abilene","KS","abilene-baptist-academy-abilene-ks","1"
"Abilene H S","Abilene","TX","abilene-h-s-abilene-tx","1"
"Abilene High School","Abilene","KS","abilene-high-school-abilene-ks","1"
"Abingdon High","Abingdon","VA","abingdon-high-abingdon-va","1"
"Abingdon-Avon High Sch","Abingdon","IL","abingdon-avon-high-sch-abingdon-il","1"
"Abington Christian Academy","Clarks Green","PA","abington-christian-academy-clarks-green-pa","1"
"Abington Friends School","Jenkintown","PA","abington-friends-school-jenkintown-pa","1"
"Abington Heights Hs","Clarks Summit","PA","abington-heights-hs-clarks-summit-pa","1"
"Abington High","Abington","MA","abington-high-abington-ma","1"
"Abington Jhs","Abington","PA","abington-jhs-abington-pa","1"
"Abiqua School","Salem","OR","abiqua-school-salem-or","1"
"Abis Place","Coral Springs","FL","abis-place-coral-springs-fl","1"
"Able Academy","Naples","FL","able-academy-naples-fl","1"
"Abm Ministries-Lighthouse Christian Academy","Piedmont","MO","abm-ministries-lighthouse-christian-academy-piedmont-mo","1"
"Abm Vietnamese School","Atlanta","GA","abm-vietnamese-school-atlanta-ga","1"
"Abq Charter Academy","Albuquerque","NM","abq-charter-academy-albuquerque-nm","1"
"Abq School of Excellence","Albuquerque","NM","abq-school-of-excellence-albuquerque-nm","1"
"Abq Sign Language Academy","Albuquerque","NM","abq-sign-language-academy-albuquerque-nm","1"
"Abraham Clark High School","Roselle","NJ","abraham-clark-high-school-roselle-nj","1"
"Abraham Lincoln Alternative","Rosamond","CA","abraham-lincoln-alternative-rosamond-ca","1"
"Abraham Lincoln Continuation","Riverside","CA","abraham-lincoln-continuation-riverside-ca","1"
"Abraham Lincoln High","San Jose","CA","abraham-lincoln-high-san-jose-ca","1"
"Abraham Lincoln High School","Denver","CO","abraham-lincoln-high-school-denver-co","1"
"Abraham Lincoln High School","Council Bluffs","IA","abraham-lincoln-high-school-council-bluffs-ia","1"
"Abraham Lincoln High School","Brooklyn","NY","abraham-lincoln-high-school-brooklyn-ny","1"
"Abraham Lincoln Middle School","Gainesville","FL","abraham-lincoln-middle-school-gainesville-fl","1"
"Abraham Lincoln Senior High","Los Angeles","CA","abraham-lincoln-senior-high-los-angeles-ca","1"
"Abramson Sci Academy","New Orleans","LA","abramson-sci-academy-new-orleans-la","1"
"Abraxas Academy","Morgantown","PA","abraxas-academy-morgantown-pa","1"
"Abraxas Continuation High","Poway","CA","abraxas-continuation-high-poway-ca","1"
"Abraxas I Arlene Lissner High School","Marienville","PA","abraxas-i-arlene-lissner-high-school-marienville-pa","1"
"Abraxas Leadership Development Program","South Mountain","PA","abraxas-leadership-development-program-south-mountain-pa","1"
"Abraxas Youth Center","South Mountain","PA","abraxas-youth-center-south-mountain-pa","1"
"Abraxis Charter","Santa Rosa","CA","abraxis-charter-santa-rosa-ca","1"
"Absarokee High School","Absarokee","MT","absarokee-high-school-absarokee-mt","1"
"Absegami High School","Galloway","NJ","absegami-high-school-galloway-nj","1"
"Abundant Life Academy","Nutley","NJ","abundant-life-academy-nutley-nj","1"
